rank,title,genre,platforms,release_date,developer,publisher,description
274,The World Ends with You,RPG,"['Nintendo DS', 'iOS', 'Android', 'Nintendo Switch', 'PC']",2007-07-26,Square Enix,Square Enix,"The World Ends with You is an action role-playing game set in modern-day Shibuya, Tokyo. Players follow Neku Sakuraba, a reclusive teenager forced into the mysterious Reapers' Game, a seven-day survival challenge where he teams up with different partners to battle supernatural enemies called Noise. The game is known for its distinctive art style, urban fashion-inspired aesthetic, and fast-paced, touch-based combat that originally used both Nintendo DS screens simultaneously. It blends exploration, character-driven storytelling, and a soundtrack that mixes pop, rock, and electronic music. The story explores themes of isolation, connection, and personal growth as Neku uncovers the truth behind the game and the people around him."
275,Vampire: The Masquerade - Bloodlines,RPG,['PC'],2004-11-16,Troika Games,Activision,"A cult-classic action RPG set in White Wolf’s World of Darkness, Vampire: The Masquerade - Bloodlines lets players create a vampire and navigate a modern-night Los Angeles filled with politics, horror, and supernatural intrigue. The game features multiple clans, each with distinct abilities and playstyles, and emphasizes dialogue, stealth, combat, and choice-driven quests. Players balance feeding on humans, managing their Masquerade status, and aligning with powerful factions while uncovering a dark conspiracy. Despite a troubled launch, it became widely praised for its writing, atmosphere, and role-playing depth."
276,WWE SmackDown! Here Comes the Pain,Sports,['PlayStation 2'],2003-10-27,Yuke's,THQ,"WWE SmackDown! Here Comes the Pain is a professional wrestling video game featuring WWE Superstars from the early 2000s era. It offers a large roster, fast-paced arcade-style wrestling, and a variety of match types including singles, tag team, hardcore, cage, and elimination matches. The game is especially known for its improved grappling system, backstage brawls, season mode, and deep customization options. Players can create wrestlers, compete for championships, and experience career progression in a full season mode with story elements and branching paths. Widely regarded as one of the best wrestling games of its generation, it is remembered for its polished gameplay, strong roster, and high replay value."
277,The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,RTS,['PC'],2006-11-28,EA Los Angeles,Electronic Arts,"The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-king is an expansion to the real-time strategy game The Battle for Middle-earth II, set in J.R.R. Tolkien's Middle-earth. It adds a new Evil faction, Angmar, led by the Witch-king of Angmar, along with a new campaign focused on the rise and conquests of this dark realm in the North. The expansion introduces new units, heroes, maps, and multiplayer features, and expands the strategic depth of the base game with new abilities and faction-specific mechanics."
278,NieR: Automata - Game of the YoRHa Edition,RPG,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2019-02-26,PlatinumGames,Square Enix,"NieR: Automata - Game of the YoRHa Edition is a complete edition of the acclaimed action RPG NieR: Automata, developed by PlatinumGames and produced by Square Enix. Set in a post-apocalyptic future where alien machines have driven humanity to the moon, players control YoRHa android combat units 2B, 9S, and A2 as they fight to reclaim Earth. The game blends fast-paced hack-and-slash combat, bullet-hell shooter elements, and multiple narrative routes that reveal different perspectives and endings. This edition includes the base game along with bonus DLC content and cosmetic items, offering the full experience in one package."
279,Persona 5 Royal,RPG,"['PlayStation 4', 'PlayStation 5', 'Nintendo Switch', 'Xbox One', 'Xbox Series X/S', 'PC']",2019-10-31,Atlus,Atlus,"Persona 5 Royal is an expanded version of the acclaimed turn-based JRPG Persona 5. Players step into the role of a transfer student in Tokyo who leads the Phantom Thieves, a group that explores supernatural palaces to change the hearts of corrupt adults. Royal adds a new semester, additional story content, new characters, improved combat mechanics, quality-of-life upgrades, and more activities to deepen social and dungeon-crawling gameplay. Combining stylish presentation, life simulation, and strategic battles, it is widely regarded as one of the definitive editions of the Persona series."
280,NieR: Automata - Become as Gods Edition,Action,"['Xbox One', 'PC']",2018-06-26,PlatinumGames,Square Enix,"NieR: Automata - Become as Gods Edition is an action RPG set in a post-apocalyptic future where humanity has been driven from Earth by alien machines. Players control YoRHa androids 2B, 9S, and A2 as they battle machine lifeforms in a fast-paced combat system combining melee, ranged attacks, and bullet-hell elements. This edition includes the base game along with DLC content, bonus items, and Xbox One enhancements such as 4K support on compatible hardware. The game is known for its multiple story routes, emotional narrative, stylish combat, and distinctive soundtrack."
281,Satisfactory,Adventure,['PC'],2019-03-19,Coffee Stain Studios,Coffee Stain Publishing,"Satisfactory is a first-person open-world factory-building and automation game set on an alien planet. Players explore the landscape, gather resources, and construct increasingly complex production lines, conveyor systems, vehicles, and power networks to support large-scale industrial expansion. The game emphasizes engineering, logistics, and optimization, allowing players to design sprawling factories while balancing resource extraction, production efficiency, and environmental challenges. It supports both solo play and cooperative multiplayer."
282,Muv-Luv Alternative,Adventure,"['PC', 'PlayStation Vita', 'PlayStation 3', 'PlayStation 4', 'Nintendo Switch']",2006-04-26,âge,âge,"Muv-Luv Alternative is a visual novel and the direct sequel to Muv-Luv Unlimited. Set in an alternate Earth where humanity is fighting a desperate war against alien invaders known as BETA, the story follows protagonist Takeru Shirogane as he relives events and works with military and political allies to change the course of the conflict. Known for its dramatic storytelling, large-scale mecha battles, emotional character arcs, and extensive worldbuilding, it is widely regarded as one of the most influential visual novels ever made."
283,RimWorld,Survival,"['PC', 'Mac', 'Linux', 'Console']",2018-10-17,Ludeon Studios,Ludeon Studios,"RimWorld is a sci-fi colony simulation and survival game driven by an AI storyteller. Players manage a group of crash-landed survivors on a distant rim-world, building a base, gathering resources, researching technology, and handling food, weather, disease, raiders, and internal morale. The game is known for emergent storytelling, where events and character interactions create unpredictable situations ranging from tragic disasters to bizarre and memorable successes. With deep management systems, mod support, and multiple expansion packs, RimWorld emphasizes strategic planning, adaptability, and long-term colony survival."
